Real property transactions,1,sadness,0.808675,negative
Tangible personal property transactions,1,sadness,0.677863,negative
COM of 13POWER OF ATTORNEYSTATUTORY POWER,1,anger,0.668504,negative
third party,4,anger,0.61547,negative
INITIAL LINE,1,anger,0.597709,negative
bond transactions,1,sadness,0.595606,negative
POWER,7,anger,0.569473,negative
military service,1,sadness,0.563538,negative
social security,1,sadness,0.563122,negative
financial institution transactions,1,sadness,0.561143,negative
option transactions,1,sadness,0.557986,negative
Option,3,anger,0.532845,negative
ATTORNEY ISEFFECTIVE,1,anger,0.532162,negative
LINE,3,anger,0.531613,negative
attorney,2,anger,0.52911,negative
annuity transactions,1,sadness,0.52815,negative
initialed subjects,1,anger,0.527066,negative
FRONT OF THE OTHERPOWERS,1,anger,0.527025,negative
family maintenance,1,sadness,0.524367,negative
beneficiary transactions,1,sadness,0.523452,negative
Retirement plan transactions,1,sadness,0.521839,negative
FRONT OF EACH POWER,1,anger,0.521481,neutral
NOTINITIAL ANYOTHER LINES,1,anger,0.521465,negative
agent,2,anger,0.520163,negative
governmental programs,1,sadness,0.520136,negative
lawful way,1,anger,0.519428,negative
POWERS,3,anger,0.517474,negative
Claims,2,sadness,0.516916,negative
LINES,1,anger,0.515823,negative
transactions,1,sadness,0.512984,negative
copy of this document,1,joy,0.51269,negative
Commodity,1,sadness,0.511853,negative
Stock,1,sadness,0.511742,negative
respect,1,anger,0.511662,negative
litigation,1,sadness,0.510814,negative
Business,1,sadness,0.510644,negative
Insurance,1,sadness,0.51038,negative
Banking,1,sadness,0.510211,negative
Estate,1,sadness,0.509875,negative
Benefits,1,sadness,0.509641,negative
trust,1,sadness,0.509627,negative
fact,1,anger,0.509236,negative
power of attorney,2,anger,0.50916,negative
medicaid,1,sadness,0.508902,negative
medicare,1,sadness,0.508795,negative
State,1,anger,0.508593,negative
County,1,anger,0.508344,negative
reliance,1,anger,0.508091,negative
APPOINTMENT,1,anger,0.507949,negative
commission,1,anger,0.507825,negative
